2020-03-07 18:13:17,814 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2020-03-07 18:13:17,814 [main] INFO  marytts.SSMLParser Starting power-on self test.
2020-03-07 18:13:17,814 [main] INFO  marytts.SSMLParser Power-on self test complete.
2020-03-07 18:13:17,892 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2020-03-07 18:13:17,892 [main] INFO  marytts.APMLParser Starting power-on self test.
2020-03-07 18:13:17,892 [main] INFO  marytts.APMLParser Power-on self test complete.
2020-03-07 18:13:17,970 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2020-03-07 18:13:17,970 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2020-03-07 18:13:17,970 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2020-03-07 18:13:17,970 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2020-03-07 18:13:18,111 [main] INFO  marytts.JTokeniser Starting power-on self test.
2020-03-07 18:13:18,111 [main] INFO  marytts.JTokeniser Power-on self test complete.
2020-03-07 18:13:18,111 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2020-03-07 18:13:18,111 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2020-03-07 18:13:18,111 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2020-03-07 18:13:18,142 [main] INFO  marytts.Prosody Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.Prosody Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2020-03-07 18:13:18,142 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2020-03-07 18:13:18,142 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2020-03-07 18:13:18,142 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2020-03-07 18:13:18,142 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2020-03-07 18:13:18,142 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2020-03-07 18:13:18,142 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2020-03-07 18:13:18,142 [main] INFO  marytts.JTokeniser Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.JTokeniser Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2020-03-07 18:13:18,142 [main] INFO  marytts.Preprocess Starting power-on self test.
2020-03-07 18:13:18,142 [main] INFO  marytts.Preprocess Power-on self test complete.
2020-03-07 18:13:18,142 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2020-03-07 18:13:18,158 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2020-03-07 18:13:18,158 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2020-03-07 18:13:18,158 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2020-03-07 18:13:18,158 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2020-03-07 18:13:18,158 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2020-03-07 18:13:18,173 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2020-03-07 18:13:18,173 [main] INFO  marytts.Prosody Starting power-on self test.
2020-03-07 18:13:18,173 [main] INFO  marytts.Prosody Power-on self test complete.
2020-03-07 18:13:18,173 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2020-03-07 18:13:18,173 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2020-03-07 18:13:18,173 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2020-03-07 18:13:18,173 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2020-03-07 18:13:18,173 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2020-03-07 18:13:18,173 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2020-03-07 18:13:18,173 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2020-03-07 18:13:21,088 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2020-03-07 18:13:21,088 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2020-03-07 18:13:21,088 [main] INFO  marytts.main Startup complete.
2020-03-07 18:13:21,763 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2020-03-07 18:13:21,763 [main] INFO  marytts.R 1 Handling request using the following modules:
2020-03-07 18:13:21,763 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2020-03-07 18:13:21,763 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 Handling request using the following modules:
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2020-03-07 18:13:21,794 [main] INFO  marytts.R 1 Next module: JTokeniser
2020-03-07 18:13:21,826 [main] INFO  marytts.R 1 Next module: Preprocess
2020-03-07 18:13:21,826 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2020-03-07 18:13:21,904 [main] INFO  marytts.R 1 Next module: JPhonemiser
2020-03-07 18:13:21,904 [main] INFO  marytts.R 1 Next module: Prosody
2020-03-07 18:13:21,904 [main] INFO  marytts.R 1 Next module: PronunciationModel
2020-03-07 18:13:21,904 [main] INFO  marytts.R 1 Next module: AcousticModeller
2020-03-07 18:13:21,966 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2020-03-07 18:13:21,966 [main] INFO  marytts.PStream Global variance optimization
2020-03-07 18:13:21,966 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=6
2020-03-07 18:13:21,966 [main] INFO  marytts.R 1 Next module: Synthesis
2020-03-07 18:13:21,966 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2020-03-07 18:13:21,966 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2020-03-07 18:13:21,966 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=11  Total number of states numState=55
2020-03-07 18:13:21,966 [main] INFO  marytts.HTSEngine Total number of frames=305  Number of voiced frames=206
2020-03-07 18:13:21,982 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Global variance optimization
